nMax,time,avgScore,varScore,maxScore
500,2.65789,-40.5855,106.847,-28.1732
500,5.84826,-35.6815,627.754,-21.1787
500,3.05351,-38.4249,51.1702,-28.1541
500,5.54394,-27.9886,91.0408,-19.6072
500,6.03108,-42.3573,109.108,-25.639
500,3.84407,-74.3002,8960.22,-23.2723
500,2.92597,-43.1441,379.768,-28.7723
500,3.98212,-37.7746,165.824,-26.6063
500,6.17052,-33.5701,73.1309,-21.0109
500,5.71697,-42.5391,1189.08,-19.7943
500,1.86716,-34.2857,12.584,-29.5124
500,3.02409,-36.1623,26.5784,-26.7601
500,4.91297,-33.9772,92.5633,-25.5539
500,4.17672,-43.532,363.088,-30.3122
500,5.09367,-40.6146,804.797,-22.2022
500,4.09186,-43.1392,144.726,-30.2819
500,3.06077,-49.844,2822.42,-33.1531
500,6.76971,-37.9074,237.538,-30.1166
500,1.84854,-38.9042,103.324,-29.7003
500,9.87053,-33.9768,294.746,-23.1263
1000,7.74952,-36.331,131.744,-22.2541
1000,4.31451,-41.2802,264.838,-25.0555
1000,5.79661,-52.9292,1522.97,-31.8864
1000,5.71862,-40.6705,50.9057,-30.5682
1000,2.64849,-43.4499,134.625,-34.8074
1000,5.16256,-39.6529,409.621,-25.6573
1000,3.41287,-39.7813,98.6126,-30.7685
1000,4.75977,-43.0002,47.7622,-35.1313
1000,3.91292,-39.1012,723.898,-31.0358
1000,2.4241,-35.3246,39.5266,-26.7601
1000,1.21963,-44.8203,15.945,-41.9322
1000,4.20522,-43.3161,82.1595,-27.8376
1000,3.95501,-42.2788,31.6844,-33.9656
1000,5.29171,-36.8296,44.1595,-29.3415
1000,2.20095,-33.287,58.7133,-28.4887
1000,8.13403,-44.3819,1432.23,-27.3375
1000,4.23068,-43.412,116.945,-35.4739
1000,4.0567,-40.77,90.8538,-28.5161
1000,2.75761,-37.0979,28.981,-30.2407
1000,2.7982,-41.7383,186.715,-33.7532
1500,5.27645,-38.0835,3659.22,-28.891
1500,3.29655,-35.8859,92.6924,-25.4439
1500,5.17807,-37.1271,90.016,-26.5554
1500,4.10001,-43.1266,49.4131,-34.3578
1500,6.67735,-41.157,126.569,-27.5603
1500,7.86254,-38.7112,477.231,-28.0337
1500,5.93943,-40.1379,130.24,-25.1149
1500,8.37589,-37.2091,118.128,-28.7744
1500,10.4047,-38.0702,55.6349,-25.5902
1500,12.3389,-37.7944,251.742,-27.0678
