nMax,time,avgScore,varScore,maxScore
1,4.77329,-16.3861,0.022739,-16.2307
1,4.02546,-15.4753,0.175259,-14.7335
1,5.08755,-16.5563,0.0694862,-16.248
1,6.16877,-16.6062,0.332466,-15.8291
1,4.94307,-12.3923,0.0372413,-12.1458
1,4.46006,-16.8013,0.0242416,-16.5935
1,3.97986,-16.5963,0.0173314,-16.4169
1,4.71679,-17.4183,0.112592,-17.1879
1,6.96404,-15.3585,0.0638057,-15.1259
1,3.60775,-17.8584,0.0203139,-17.7838
1,4.12243,-15.8304,0.132579,-15.4112
1,3.37694,-16.2457,0.0147312,-16.0743
1,3.4252,-16.3748,0.0142927,-16.1253
1,2.86034,-14.4785,0.0258853,-14.4184
1,3.73741,-21.6095,0.0189756,-21.3552
1,2.79473,-17.5638,0.0695102,-17.2595
1,5.65743,-17.4937,0.133808,-17.2524
1,3.87772,-14.4152,0.0456588,-14.2032
1,8.40661,-16.3851,0.0330152,-16.0849
1,3.40091,-17.2008,0.130223,-16.7067
2,5.46452,-17.8103,0.0845519,-17.3887
2,6.78652,-15.9437,0.248822,-15.744
2,5.78594,-17.9713,0.0278946,-17.7788
2,6.29261,-16.9991,0.0336063,-16.8657
2,4.61172,-15.8015,0.13712,-15.3059
2,3.07193,-15.2726,0.0653368,-15.086
2,5.54981,-16.1925,0.0632583,-16.0029
2,6.85534,-18.8596,0.0448934,-18.601
2,5.90489,-17.4562,0.084504,-17.1903
2,4.5526,-17.1711,0.192442,-16.6719
2,6.54114,-17.4933,0.133077,-17.2681
2,4.43357,-17.0658,0.104535,-16.8082
2,3.80577,-15.8087,0.11823,-15.1955
2,4.08834,-17.5977,0.0367421,-17.4708
2,3.41197,-16.5588,0.0546254,-16.5305
2,5.42865,-17.671,0.0285527,-17.6572
2,3.6525,-17.6132,0.311144,-17.0025
2,5.00952,-14.9756,0.069909,-14.8276
2,4.00074,-15.0671,0.0379395,-14.7064
2,6.46038,-14.7976,0.19743,-14.5913
3,5.22977,-17.9969,0.231922,-17.4771
3,5.04674,-19.4174,0.0602682,-19.3278
3,10.9676,-16.8261,0.0360612,-16.7267
3,5.33354,-15.5119,0.0736483,-15.3259
3,6.19495,-16.6012,0.0289712,-16.4157
3,4.84622,-21.3467,0.133657,-21.0328
3,4.37133,-20.3772,0.548334,-19.7185
3,8.09372,-16.2005,0.0242669,-16.0806
3,5.57406,-18.3416,0.141608,-17.9857
3,10.9191,-18.2848,0.0427555,-18.1668
3,4.29846,-18.3762,0.114474,-18.1471
3,4.25462,-18.8336,0.276468,-18.4468
3,3.61484,-16.0814,0.0302482,-15.9215
3,4.85994,-16.2747,0.0397844,-16.1215
3,5.67931,-18.6191,0.19856,-18.241
3,6.43406,-15.1945,0.0794481,-15.0414
3,3.96757,-18.4543,0.183048,-18.279
3,4.62073,-17.9004,0.0237745,-17.7291
3,6.7392,-16.3276,0.0350361,-16.161
3,5.5594,-19.0519,0.0337112,-18.8818
4,8.74706,-13.5169,0.00477279,-13.4647
4,9.83511,-20.6262,0.0765023,-20.5383
4,4.31365,-15.8677,0.0525247,-15.7455
4,8.00074,-18.7558,0.0788162,-18.6978
4,4.95059,-15.7924,0.038634,-15.7035
4,4.84383,-21.5013,0.0461047,-21.2307
4,6.17234,-14.4673,0.0342451,-14.2082
4,6.36626,-14.73,0.278233,-13.9343
4,7.78558,-17.633,0.0122847,-17.6062
4,5.53267,-12.9146,0.139519,-12.6274
4,5.47927,-16.5567,0.073871,-16.3916
4,8.02225,-21.3026,0.026905,-21.157
4,9.28632,-15.357,0.0503365,-15.3309
4,5.43944,-21.2826,4.5786e-05,-21.276
4,3.85407,-19.1587,0.0566569,-19.039
4,5.60575,-18.6523,0.0906201,-18.2149
4,4.61441,-15.3918,0.123622,-15.2108
4,6.51446,-14.2673,0.080301,-14.2267
4,5.77033,-14.9339,0.0220812,-14.7385
4,7.62594,-18.4895,0.0673894,-18.2843
5,5.04446,-19.3974,0.0282739,-19.2186
5,5.62496,-17.4036,0.0499501,-17.1853
5,5.03763,-19.3332,0.254938,-19.2295
5,6.7645,-18.6469,0.000490243,-18.6342
5,6.09991,-20.1785,0.392416,-19.7033
5,4.44143,-15.322,0.0785584,-14.8672
5,12.0714,-20.0943,0.0478304,-19.892
5,6.40179,-17.1799,0.0413597,-17.0696
5,8.70448,-18.2684,0.0293734,-18.1348
5,5.68228,-19.8152,0.0834239,-19.5487
5,5.7195,-17.5158,0.0208837,-17.4465
5,7.00244,-15.8581,0.0236972,-15.8301
5,13.0315,-15.4634,0.0910277,-15.2464
5,6.18572,-17.8117,0.197021,-17.5571
