method,numSamps,time,avgScore,maxScore
smc,10,1.06337,-18.8578,-18.6548
smc,10,0.296911,-21.2668,-21.1732
smc,10,0.427057,-28.1592,-28.1476
smc,10,0.323667,-20.6699,-20.5968
smc,10,0.634846,-16.0225,-15.9371
smc,10,0.899262,-19.8789,-19.8229
smc,10,0.815863,-14.5629,-14.519
smc,10,0.337916,-24.88,-24.88
smc,10,0.885299,-19.0589,-19.0139
smc,10,0.6861,-18.5683,-18.4247
smc_fixedOrder,10,0.671564,-17.7372,-17.5392
smc_fixedOrder,10,0.641284,-18.6677,-18.5684
smc_fixedOrder,10,0.463645,-18.9133,-18.8325
smc_fixedOrder,10,0.711352,-19.7879,-19.4315
smc_fixedOrder,10,0.406837,-20.693,-20.6145
smc_fixedOrder,10,0.209458,-32.8988,-32.705
smc_fixedOrder,10,0.416604,-23.5174,-23.0876
smc_fixedOrder,10,0.372699,-26.7537,-26.5608
smc_fixedOrder,10,0.613972,-17.9872,-17.7607
smc_fixedOrder,10,0.235717,-21.7877,-21.523
mh,10,0.656026,-31.1832,-26.3846
mh,10,0.732534,-36.7382,-34.1064
mh,10,0.691263,-35.9076,-34.5047
mh,10,0.75892,-36.4767,-34.3128
mh,10,0.715002,-34.1016,-31.2015
mh,10,0.701895,-32.0422,-28.3954
mh,10,0.698621,-34.3785,-32.1513
mh,10,0.658898,-32.2831,-30.426
mh,10,0.690165,-30.6567,-27.8083
mh,10,0.676683,-34.3802,-28.7247
smc,100,9.98919,-11.566,-11.4902
smc,100,10.723,-13.1392,-13.0844
smc,100,9.17819,-8.59656,-8.4318
smc,100,6.4932,-15.1522,-15.0999
smc,100,7.24957,-9.51367,-9.44419
smc,100,6.58967,-8.93709,-8.91121
smc,100,3.41285,-17.3986,-17.2437
smc,100,5.55376,-9.9065,-9.77264
smc,100,6.28655,-10.2266,-10.1154
smc,100,9.77426,-12.7143,-12.5637
smc_fixedOrder,100,2.63456,-22.006,-21.9237
smc_fixedOrder,100,2.9536,-23.136,-22.5741
smc_fixedOrder,100,2.5884,-20.5211,-19.9676
smc_fixedOrder,100,5.96043,-13.8652,-13.7221
smc_fixedOrder,100,5.80472,-9.57164,-9.06865
smc_fixedOrder,100,3.85867,-11.2154,-10.8395
smc_fixedOrder,100,2.71412,-18.3104,-17.8251
smc_fixedOrder,100,5.50979,-8.48317,-7.76159
smc_fixedOrder,100,4.17392,-17.6421,-17.248
smc_fixedOrder,100,2.59145,-19.8886,-19.7057
mh,100,7.54461,-25.9158,-23.1578
mh,100,7.60351,-28.6013,-23.9967
mh,100,7.58541,-28.2276,-23.3152
mh,100,7.5723,-32.9884,-17.7316
mh,100,7.59647,-21.0247,-14.6338
mh,100,7.62924,-21.956,-16.7539
mh,100,7.64835,-25.882,-14.6215
mh,100,7.58558,-28.0036,-17.3169
mh,100,7.59489,-24.455,-21.3875
mh,100,7.56527,-22.0426,-15.5645
smc,200,16.8644,-10.6145,-10.5287
smc,200,16.2791,-7.63171,-7.57476
smc,200,16.356,-8.72079,-8.64305
smc,200,25.2967,-9.2423,-9.23326
smc,200,21.8272,-7.77785,-7.77525
smc,200,17.5189,-6.14522,-6.0753
smc,200,18.753,-8.83896,-8.7935
smc,200,17.6903,-8.04764,-7.97586
smc,200,15.3837,-9.53758,-9.46906
smc,200,14.892,-11.3972,-11.3356
smc_fixedOrder,200,11.4607,-11.3571,-10.7921
smc_fixedOrder,200,10.5762,-9.49983,-8.99298
smc_fixedOrder,200,6.4642,-18.5111,-17.9231
smc_fixedOrder,200,5.04823,-19.7922,-19.1533
smc_fixedOrder,200,16.7224,-7.33867,-6.96194
smc_fixedOrder,200,10.612,-9.43849,-8.92378
smc_fixedOrder,200,12.0287,-11.0228,-10.7861
smc_fixedOrder,200,11.0914,-9.13717,-8.72199
smc_fixedOrder,200,12.0227,-7.73985,-7.37574
smc_fixedOrder,200,9.91633,-9.6393,-9.31095
mh,200,18.1645,-20.4526,-14.8528
mh,200,18.1354,-21.1207,-13.3045
mh,200,18.17,-20.5393,-14.055
mh,200,18.1348,-21.411,-17.2977
mh,200,18.1711,-16.9256,-11.2574
mh,200,18.1373,-22.1559,-14.3398
mh,200,18.1362,-17.8574,-7.97788
mh,200,18.1482,-22.9978,-14.4299
mh,200,18.1236,-20.597,-14.8495
mh,200,18.1525,-22.5087,-10.9926
smc,300,10.9467,-14.1995,-14.1604
smc,300,16.9128,-6.43924,-6.29476
smc,300,27.8044,-9.32345,-9.20647
smc,300,19.5199,-8.24726,-8.23173
smc,300,23.1803,-7.40797,-7.33743
smc,300,25.5197,-7.51035,-7.44987
smc,300,16.8687,-9.71929,-9.53809
smc,300,17.2577,-9.86772,-9.84234
smc,300,24.4864,-10.3942,-10.377
smc,300,20.409,-9.42559,-9.30813
smc_fixedOrder,300,11.2099,-10.7001,-10.2441
smc_fixedOrder,300,14.938,-10.0735,-8.87494
smc_fixedOrder,300,12.854,-8.75332,-8.41709
smc_fixedOrder,300,15.4061,-7.80716,-7.21167
smc_fixedOrder,300,5.83967,-19.0572,-18.3672
smc_fixedOrder,300,12.4542,-8.15399,-7.5488
smc_fixedOrder,300,14.1068,-9.35324,-8.75738
smc_fixedOrder,300,13.2625,-9.62167,-9.31025
smc_fixedOrder,300,13.38,-9.07747,-8.57397
smc_fixedOrder,300,12.088,-9.39607,-8.9657
mh,300,20.3221,-17.5043,-12.1001
mh,300,20.38,-18.7547,-10.1604
mh,300,20.3229,-15.3095,-9.1859
mh,300,20.3347,-15.2664,-8.97549
mh,300,20.3809,-19.1972,-11.9995
mh,300,20.3356,-19.2079,-12.3463
mh,300,20.3729,-27.5634,-15.8635
mh,300,20.3536,-16.2188,-6.78756
mh,300,20.337,-21.0845,-18.0045
mh,300,20.3729,-16.7488,-8.40131
smc,400,30.1017,-6.2533,-6.13623
smc,400,40.3362,-7.01362,-6.98407
smc,400,37.4856,-9.00249,-8.8854
smc,400,35.0641,-8.01845,-7.93872
smc,400,28.9648,-5.32538,-5.1819
smc,400,40.4619,-7.80266,-7.68998
smc,400,41.2272,-7.25095,-7.22416
smc,400,20.0466,-15.0372,-14.8753
smc,400,31.242,-6.78874,-6.75458
smc,400,38.6685,-8.0155,-7.94884
smc_fixedOrder,400,9.44292,-19.0728,-18.4896
smc_fixedOrder,400,19.5183,-7.98317,-7.49962
smc_fixedOrder,400,13.4088,-18.1418,-17.9285
smc_fixedOrder,400,12.0466,-18.385,-17.9063
smc_fixedOrder,400,22.5537,-8.7613,-8.03063
smc_fixedOrder,400,9.58499,-20.9375,-20.6276
smc_fixedOrder,400,10.9092,-20.6041,-20.0026
smc_fixedOrder,400,19.0049,-8.2943,-7.8572
smc_fixedOrder,400,15.1439,-18.3681,-17.997
smc_fixedOrder,400,20.815,-8.12261,-7.60274
mh,400,34.421,-112.161,-17.5248
mh,400,34.4455,-13.994,-6.09375
mh,400,34.4634,-14.4714,-6.45942
mh,400,34.4439,-19.962,-11.2754
mh,400,34.3936,-18.6914,-10.0075
mh,400,34.4002,-15.941,-9.05041
mh,400,34.4012,-13.9116,-8.41846
mh,400,34.4229,-19.7749,-8.85683
mh,400,34.4024,-15.6485,-10.1575
mh,400,34.4301,-17.0072,-10.4153
smc,500,31.6149,-8.71878,-8.61954
smc,500,39.1548,-6.12479,-6.09472
smc,500,35.4716,-8.67541,-8.51318
smc,500,42.5852,-7.1906,-7.18147
smc,500,23.9876,-11.9143,-11.8839
smc,500,37.8291,-7.41755,-7.33677
smc,500,36.1058,-7.25599,-7.12053
smc,500,31.8406,-6.99315,-6.9015
smc,500,38.191,-6.30699,-6.22958
smc,500,26.0857,-8.32648,-8.15683
smc_fixedOrder,500,8.22724,-16.4705,-15.6107
smc_fixedOrder,500,11.9338,-19.4525,-19.0003
smc_fixedOrder,500,21.8671,-9.03011,-8.32567
smc_fixedOrder,500,11.1214,-20.391,-19.9832
smc_fixedOrder,500,18.0937,-8.4957,-7.71762
smc_fixedOrder,500,19.3118,-7.94055,-7.39095
smc_fixedOrder,500,14.3212,-19.8473,-19.1669
smc_fixedOrder,500,10.1202,-19.0935,-18.6222
smc_fixedOrder,500,8.87626,-18.6372,-17.8295
smc_fixedOrder,500,12.5861,-19.9375,-19.4433
mh,500,34.3321,-20.12,-14.2424
mh,500,34.3439,-16.8168,-9.52883
mh,500,34.3165,-14.08,-6.84444
mh,500,34.3489,-20.0807,-9.86707
mh,500,34.3458,-20.3332,-14.4804
mh,500,34.3422,-12.2989,-4.85977
mh,500,34.3254,-13.2413,-6.88074
mh,500,34.3448,-23.0727,-15.0149
mh,500,34.3136,-18.3501,-11.0598
mh,500,34.343,-15.4311,-12.181
smc,600,36.1205,-8.13977,-8.12081
smc,600,27.2284,-13.5541,-13.4533
smc,600,44.2314,-7.95803,-7.88169
smc,600,33.4586,-7.82821,-7.77927
smc,600,57.3331,-6.66198,-6.55209
smc,600,30.0273,-6.39233,-6.29128
smc,600,43.6433,-7.49326,-7.34007
smc,600,38.9422,-5.45094,-5.2542
smc,600,51.0643,-8.1595,-8.15003
smc,600,39.3623,-4.92659,-4.8395
smc_fixedOrder,600,29.6781,-8.38443,-7.85316
smc_fixedOrder,600,29.2827,-6.50714,-5.92251
smc_fixedOrder,600,49.2344,-13.6604,-13.219
smc_fixedOrder,600,17.942,-17.6916,-17.2106
smc_fixedOrder,600,29.3744,-8.42449,-7.82627
smc_fixedOrder,600,12.557,-21.7658,-21.3658
smc_fixedOrder,600,13.049,-18.7816,-18.1207
smc_fixedOrder,600,36.5885,-10.7153,-10.0357
smc_fixedOrder,600,11.3122,-17.8807,-17.2733
smc_fixedOrder,600,14.9389,-16.6365,-16.0821
mh,600,40.1842,-16.7963,-9.02588
mh,600,40.1845,-11.3541,-3.71109
mh,600,40.2057,-13.844,-7.42138
mh,600,40.1988,-15.5184,-8.90302
mh,600,40.2083,-15.6651,-8.33182
mh,600,40.2585,-10.0885,-3.86712
mh,600,40.2308,-15.3799,-9.95043
mh,600,40.1828,-15.9948,-11.0754
mh,600,40.1838,-11.9216,-3.5061
mh,600,40.1901,-13.1379,-4.76826
smc,700,48.0122,-5.61945,-5.5609
smc,700,61.5907,-8.20664,-8.06382
smc,700,55.4864,-6.12241,-6.11924
smc,700,57.3714,-5.39282,-5.38463
smc,700,45.9718,-5.4035,-5.32313
smc,700,44.6095,-7.52107,-7.48236
smc,700,43.7089,-4.62593,-4.43702
smc,700,51.268,-8.52303,-8.37526
smc,700,53.1137,-7.36915,-7.34998
smc,700,50.6353,-5.53073,-5.49219
smc_fixedOrder,700,32.498,-8.16666,-7.54282
smc_fixedOrder,700,32.3119,-9.21134,-8.76849
smc_fixedOrder,700,15.8799,-16.777,-16.1356
smc_fixedOrder,700,17.9149,-17.9612,-17.5848
smc_fixedOrder,700,26.4304,-9.64474,-9.20365
smc_fixedOrder,700,46.4584,-14.276,-13.1262
smc_fixedOrder,700,15.1982,-20.03,-18.8902
smc_fixedOrder,700,26.0425,-7.01606,-6.50382
smc_fixedOrder,700,29.1611,-9.49107,-9.0897
smc_fixedOrder,700,21.2197,-17.7002,-17.4236
mh,700,51.2212,-10.5683,-3.52394
mh,700,51.2161,-12.1127,-9.37467
mh,700,51.2424,-17.9903,-4.82467
mh,700,51.2044,-11.735,-4.31537
mh,700,51.2174,-11.0457,-3.68352
mh,700,51.2355,-19.3562,-14.5567
mh,700,51.292,-17.2633,-6.96389
mh,700,51.2369,-18.1624,-8.35197
mh,700,51.2561,-13.043,-7.84039
mh,700,51.2171,-18.614,-11.4819
smc,800,61.1745,-6.95643,-6.8775
smc,800,47.4674,-6.37307,-6.21569
smc,800,28.8124,-14.0623,-13.9289
smc,800,61.262,-4.96124,-4.93971
smc,800,62.6075,-5.64455,-5.52447
smc,800,55.4819,-7.54046,-7.39425
smc,800,59.4455,-6.87518,-6.6972
smc,800,44.5363,-5.60114,-5.36635
smc,800,44.4362,-6.58896,-6.55145
smc,800,48.8391,-8.1584,-8.07399
smc_fixedOrder,800,31.891,-8.40496,-7.67841
smc_fixedOrder,800,22.4329,-17.8832,-17.2498
smc_fixedOrder,800,17.017,-19.6269,-19.1506
smc_fixedOrder,800,34.4178,-9.09979,-8.09841
smc_fixedOrder,800,40.95,-7.71109,-7.34667
smc_fixedOrder,800,34.8942,-5.91584,-5.37731
smc_fixedOrder,800,15.1728,-17.97,-17.3178
smc_fixedOrder,800,18.2977,-19.1775,-18.5361
smc_fixedOrder,800,37.2038,-6.27722,-5.66929
smc_fixedOrder,800,41.1289,-8.20718,-7.02708
mh,800,51.4629,-12.9378,-3.05317
mh,800,51.4536,-16.641,-5.36779
mh,800,51.4435,-17.7936,-9.55092
mh,800,51.4356,-14.4193,-4.9421
mh,800,51.4977,-14.4271,-2.76253
mh,800,51.4614,-13.353,-6.81532
mh,800,51.4521,-12.1289,-5.45669
mh,800,51.4543,-15.0724,-5.49648
mh,800,51.4715,-17.682,-12.3088
mh,800,51.4553,-15.0611,-11.2807
smc,900,72.1361,-7.75319,-7.67816
smc,900,69.7417,-8.2343,-8.16839
smc,900,51.8763,-5.08068,-4.91164
smc,900,77.9242,-6.67519,-6.59988
smc,900,70.052,-5.49579,-5.41452
smc,900,69.2106,-5.53373,-5.35086
smc,900,65.188,-4.28988,-4.20656
smc,900,45.3398,-5.81496,-5.68411
smc,900,69.3144,-6.44297,-6.4059
smc,900,69.506,-7.67531,-7.63275
smc_fixedOrder,900,17.4803,-19.9028,-18.9741
smc_fixedOrder,900,30.7117,-8.02913,-7.37971
smc_fixedOrder,900,31.9119,-6.55227,-5.90193
smc_fixedOrder,900,23.6123,-17.5452,-16.6334
smc_fixedOrder,900,23.3788,-17.2658,-16.6497
smc_fixedOrder,900,20.3502,-16.8327,-16.2148
smc_fixedOrder,900,32.8887,-8.76607,-8.27403
smc_fixedOrder,900,28.7714,-9.84146,-9.35766
smc_fixedOrder,900,35.0203,-12.0973,-11.5053
smc_fixedOrder,900,36.5735,-10.3897,-9.57516
mh,900,66.1176,-9.22056,-3.71253
mh,900,66.0687,-13.6782,-6.5854
mh,900,66.1526,-14.8699,-10.7861
mh,900,66.0665,-11.6152,-6.29096
mh,900,66.0723,-20.2755,-9.16773
mh,900,66.0932,-9.06304,-2.5288
mh,900,66.0817,-13.265,-8.99228
mh,900,66.082,-11.7655,-6.16521
mh,900,66.1659,-9.56088,-4.58229
mh,900,66.1088,-20.4593,-9.26573
smc,1000,84.0537,-7.21944,-7.20204
smc,1000,83.3838,-6.83704,-6.79121
smc,1000,54.631,-7.27407,-7.09959
smc,1000,91.682,-8.97511,-8.84793
smc,1000,70.8207,-5.95205,-5.8851
smc,1000,80.3891,-6.55961,-6.42373
smc,1000,61.2692,-5.92357,-5.83159
smc,1000,66.0778,-5.60102,-5.46158
smc,1000,61.5539,-5.18559,-5.12638
smc,1000,71.036,-6.24591,-6.13435
smc_fixedOrder,1000,28.3874,-14.9842,-14.4054
smc_fixedOrder,1000,20.7781,-20.5821,-20.1318
smc_fixedOrder,1000,41.3051,-5.82307,-5.00495
smc_fixedOrder,1000,30.1289,-16.8018,-16.4525
smc_fixedOrder,1000,23.5245,-19.1258,-18.7542
smc_fixedOrder,1000,25.3665,-14.9075,-14.5329
smc_fixedOrder,1000,36.3094,-8.95681,-8.56362
smc_fixedOrder,1000,22.9841,-16.7547,-16.2907
smc_fixedOrder,1000,39.9084,-7.07444,-6.44285
smc_fixedOrder,1000,27.7573,-17.559,-16.918
mh,1000,72.5449,-9.52727,-2.16657
mh,1000,72.523,-20.9688,-15.0962
mh,1000,72.5574,-11.6647,-3.22632
mh,1000,72.5438,-11.4304,-7.76586
mh,1000,72.5547,-8.2341,-0.976285
mh,1000,72.5802,-14.871,-7.10482
mh,1000,72.5249,-12.9035,-7.62741
mh,1000,72.5521,-14.5423,-4.06505
mh,1000,72.5532,-14.4342,-8.45211
mh,1000,72.5473,-17.22,-10.1706
