method,numSamps,time,avgScore,maxScore
smc,10,0.192775,-43.8816,-43.8348
smc,10,0.22365,-31.8308,-31.6921
smc,10,0.201143,-35.7468,-35.7244
smc,10,0.255879,-32.8918,-32.6735
smc,10,0.169578,-33.6692,-33.6692
smc,10,0.174716,-26.9724,-26.7726
smc,10,0.204434,-43.4628,-43.4473
smc,10,0.185692,-32.9798,-32.7273
smc,10,0.149581,-47.4488,-47.2201
smc,10,0.18339,-31.4576,-31.3799
smc_fixedOrder,10,0.172574,-52.3786,-51.9978
smc_fixedOrder,10,0.16225,-51.1875,-51.1875
smc_fixedOrder,10,0.163703,-49.5839,-49.5815
smc_fixedOrder,10,0.157224,-55.0641,-54.9759
smc_fixedOrder,10,0.174945,-46.4154,-46.3459
smc_fixedOrder,10,0.181366,-50.2143,-50.2143
smc_fixedOrder,10,0.167902,-52.376,-52.376
smc_fixedOrder,10,0.17398,-38.03,-38.03
smc_fixedOrder,10,0.132814,-55.5794,-55.5367
smc_fixedOrder,10,0.12984,-46.3359,-46.3359
mh,10,0.306627,-77.0439,-65.6108
mh,10,0.311631,-67.9978,-57.1224
mh,10,0.325537,-181.626,-71.6022
mh,10,0.347599,-117.25,-89.8357
mh,10,0.306985,-38.145,-33.239
mh,10,0.320142,-51.7657,-44.9782
mh,10,0.334223,-93.8992,-42.573
mh,10,0.313468,-63.6084,-54.0552
mh,10,0.345775,-42.0881,-37.2842
mh,10,0.354035,-90.2085,-61.2531
smc,100,0.872873,-18.1034,-17.853
smc,100,0.876286,-17.741,-17.6572
smc,100,0.791283,-25.9499,-25.7551
smc,100,0.874346,-21.4375,-21.174
smc,100,1.42794,-15.552,-15.314
smc,100,1.25104,-20.1403,-20.0713
smc,100,1.10354,-21.621,-21.534
smc,100,1.97503,-20.0734,-19.7171
smc,100,0.607918,-23.8805,-23.4848
smc,100,0.727469,-20.5811,-20.2762
smc_fixedOrder,100,0.32479,-43.0523,-42.7398
smc_fixedOrder,100,0.669137,-27.4564,-27.303
smc_fixedOrder,100,0.421516,-36.5673,-36.065
smc_fixedOrder,100,0.276295,-37.9734,-37.9447
smc_fixedOrder,100,0.3251,-44.7307,-44.2763
smc_fixedOrder,100,0.533123,-31.9239,-31.8571
smc_fixedOrder,100,0.666336,-27.3511,-27.0269
smc_fixedOrder,100,0.637318,-29.2682,-29.2348
smc_fixedOrder,100,0.461285,-44.8919,-44.7073
smc_fixedOrder,100,0.550621,-32.1467,-31.9398
