method,numSamps,time,avgScore,maxScore
smc,10,0.120303,-23.5195,-23.5195
smc,10,0.121378,-21.5549,-21.5549
smc,10,0.836177,-34.1315,-34.1315
smc,10,0.150092,-22.366,-21.9635
smc,10,1.18791,-21.9719,-21.9185
smc,10,0.260613,-26.3019,-26.1732
smc,10,0.106682,-31.8522,-31.8522
smc,10,0.094229,-32.5762,-32.5762
smc,10,0.107528,-23.6433,-23.6433
smc,10,0.095,-20.0933,-20.0933
smc_fixedOrder,10,1.25105,-25.0718,-25.0718
smc_fixedOrder,10,2.57958,-37.5494,-37.5494
smc_fixedOrder,10,7.35294,-inf,-inf
smc_fixedOrder,10,0.557981,-22.7641,-22.7641
smc_fixedOrder,10,0.113073,-21.2152,-20.9829
smc_fixedOrder,10,1.2979,-30.5805,-30.5805
smc_fixedOrder,10,0.0892491,-19.5515,-19.5515
smc_fixedOrder,10,0.0977421,-24.2735,-24.2735
smc_fixedOrder,10,0.0896912,-20.7033,-20.7033
smc_fixedOrder,10,0.0943398,-18.4815,-18.4298
smc,100,7.18548,-9.17114,-8.96774
smc,100,3.09465,-13.5371,-13.442
smc,100,7.12997,-11.3253,-11.2173
smc,100,29.1969,-9.57304,-9.31722
smc,100,16.3436,-12.2973,-12.2384
smc,100,17.6368,-8.03614,-7.80791
smc,100,1.66571,-18.7398,-18.7331
smc,100,1.15863,-15.1089,-14.9408
smc,100,0.588508,-17.0783,-17.0711
smc,100,14.6538,-10.9769,-10.8757
smc_fixedOrder,100,0.386203,-18.4389,-18.412
smc_fixedOrder,100,3.23388,-15.1468,-15.0275
smc_fixedOrder,100,3.07851,-11.9529,-11.7968
smc_fixedOrder,100,13.8917,-9.96126,-9.8699
smc_fixedOrder,100,0.369213,-17.4849,-17.4849
smc_fixedOrder,100,1.01578,-15.7271,-15.517
smc_fixedOrder,100,7.59724,-9.95307,-9.95307
smc_fixedOrder,100,2.15473,-11.719,-11.3923
smc_fixedOrder,100,5.72058,-12.0471,-11.8347
smc_fixedOrder,100,5.42667,-18.6689,-18.6641
mh,100,9.98195,-45.9224,-18.9373
mh,100,9.94218,-18.8253,-15.8766
mh,100,9.93664,-16.8185,-15.3912
mh,100,9.93887,-20.4734,-16.4483
mh,100,9.95759,-68.7122,-19.7593
mh,100,9.9829,-30.6735,-15.8334
mh,100,10.134,-165.798,-19.8092
mh,100,9.94146,-28.1655,-14.2431
mh,100,9.95217,-20.1572,-8.45804
mh,100,9.93583,-24.449,-16.2846
smc,200,22.7134,-6.67332,-6.44215
smc,200,9.50173,-9.90848,-9.55057
smc,200,6.7823,-9.29522,-9.18266
smc,200,15.5793,-7.49142,-7.33844
smc,200,8.79791,-11.021,-10.824
smc,200,15.8566,-8.70048,-8.44382
smc,200,11.0281,-9.51832,-9.29628
smc,200,3.89551,-12.6804,-12.5332
smc,200,23.1908,-7.42028,-7.23914
smc,200,4.78774,-13.4303,-13.1628
smc_fixedOrder,200,4.2723,-13.4946,-13.2283
smc_fixedOrder,200,6.96939,-9.97031,-9.8181
smc_fixedOrder,200,2.40631,-15.1367,-14.7808
smc_fixedOrder,200,3.67156,-10.9743,-10.6781
smc_fixedOrder,200,11.193,-10.1609,-9.75675
smc_fixedOrder,200,7.38617,-11.0242,-10.7917
smc_fixedOrder,200,2.76895,-13.7473,-13.4577
smc_fixedOrder,200,3.97474,-12.278,-12.0939
smc_fixedOrder,200,2.97734,-13.0503,-12.7501
smc_fixedOrder,200,37.5971,-8.14053,-8.12995
mh,200,12.2826,-34.2135,-15.9004
mh,200,12.2798,-21.5485,-20.2608
mh,200,12.2996,-18.1498,-8.79421
mh,200,12.3277,-208.47,-23.4477
mh,200,12.2831,-18.3876,-15.7009
mh,200,12.3066,-78.4278,-19.1012
mh,200,12.2977,-21.1691,-9.99343
mh,200,12.2916,-23.3689,-19.8658
mh,200,12.2813,-15.82,-15.2511
mh,200,12.314,-577.944,-14.7152
smc,300,111.021,-7.41841,-7.23846
smc,300,23.5825,-9.17436,-8.7811
smc,300,25.6338,-8.31041,-8.10975
smc,300,13.312,-8.68846,-8.53098
smc,300,12.7107,-9.95396,-9.75932
smc,300,24.2845,-9.46632,-9.16048
smc,300,29.1174,-6.38909,-5.98732
smc,300,20.8793,-11.9828,-11.8347
smc,300,11.6326,-11.7907,-11.4279
smc,300,44.5791,-7.67581,-7.48238
smc_fixedOrder,300,11.1808,-10.8447,-10.5841
smc_fixedOrder,300,7.70094,-10.9783,-10.8683
smc_fixedOrder,300,12.5682,-8.70466,-8.53228
