method,numSamps,time,avgScore,maxScore,MHavgTime
smc,10,0.425895,-19.9529,-19.7782,0.47008790000000006
smc,10,0.613098,-20.1147,-20.0801,0.47008790000000006
smc,10,0.593677,-22.0846,-22.0846,0.47008790000000006
smc,10,0.55812,-25.0969,-24.9715,0.47008790000000006
smc,10,0.65932,-20.3713,-20.3693,0.47008790000000006
smc,10,0.548379,-23.6192,-23.6114,0.47008790000000006
smc,10,0.215156,-25.3124,-25.2568,0.47008790000000006
smc,10,0.223385,-32.3176,-32.2296,0.47008790000000006
smc,10,0.522482,-19.1173,-18.9832,0.47008790000000006
smc,10,0.3677,-23.1035,-23.0096,0.47008790000000006
smc,10,0.525798,-15.7256,-15.7084,0.47008790000000006
smc,10,0.290627,-27.7917,-27.7917,0.47008790000000006
smc,10,0.283384,-25.7386,-25.6421,0.47008790000000006
smc,10,0.627901,-17.0782,-16.9546,0.47008790000000006
smc,10,0.512802,-18.5577,-18.5057,0.47008790000000006
smc,10,0.212664,-24.049,-23.853,0.47008790000000006
smc,10,0.252066,-23.9171,-23.7952,0.47008790000000006
smc,10,0.306761,-21.8698,-21.7545,0.47008790000000006
smc,10,0.280996,-25.6421,-25.6421,0.47008790000000006
smc,10,0.412088,-23.666,-23.5623,0.47008790000000006
smc_fixedOrder,10,0.444336,-17.0888,-17.0602,0.47008790000000006
smc_fixedOrder,10,0.194677,-24.9853,-24.6814,0.47008790000000006
smc_fixedOrder,10,0.181983,-27.8505,-27.5345,0.47008790000000006
smc_fixedOrder,10,0.262308,-24.9903,-24.7766,0.47008790000000006
smc_fixedOrder,10,0.397882,-19.6596,-19.3641,0.47008790000000006
smc_fixedOrder,10,0.118507,-33.1245,-32.9596,0.47008790000000006
smc_fixedOrder,10,0.589069,-13.7088,-13.4762,0.47008790000000006
smc_fixedOrder,10,0.432912,-19.7568,-19.5072,0.47008790000000006
smc_fixedOrder,10,0.0978608,-30.2565,-29.9844,0.47008790000000006
smc_fixedOrder,10,0.446619,-14.7938,-14.4928,0.47008790000000006
smc_fixedOrder,10,0.459162,-18.9405,-18.6049,0.47008790000000006
smc_fixedOrder,10,0.36657,-22.9408,-22.5645,0.47008790000000006
smc_fixedOrder,10,0.195929,-23.8695,-23.6302,0.47008790000000006
smc_fixedOrder,10,0.199096,-23.5891,-23.4396,0.47008790000000006
smc_fixedOrder,10,0.184974,-27.0044,-26.8627,0.47008790000000006
smc_fixedOrder,10,0.521991,-14.8343,-14.6314,0.47008790000000006
smc_fixedOrder,10,0.320647,-20.2956,-20.0432,0.47008790000000006
smc_fixedOrder,10,0.082037,-32.9951,-32.6454,0.47008790000000006
smc_fixedOrder,10,0.557819,-17.9171,-17.5919,0.47008790000000006
smc_fixedOrder,10,0.226741,-24.7746,-24.5194,0.47008790000000006
mh,10,0.442662,-30.0546,-27.4038,0.47008790000000006
mh,10,0.484877,-32.4414,-29.1982,0.47008790000000006
mh,10,0.455408,-34.5026,-32.633,0.47008790000000006
mh,10,0.452942,-31.877,-26.1336,0.47008790000000006
mh,10,0.470554,-31.4528,-29.5908,0.47008790000000006
mh,10,0.47557,-29.0324,-26.5777,0.47008790000000006
mh,10,0.475293,-30.4486,-26.251,0.47008790000000006
mh,10,0.444272,-32.9126,-28.6704,0.47008790000000006
mh,10,0.483443,-38.6648,-31.7269,0.47008790000000006
mh,10,0.511897,-35.7253,-32.8907,0.47008790000000006
mh,10,0.4933,-33.6501,-28.2375,0.47008790000000006
mh,10,0.483098,-38.465,-28.6714,0.47008790000000006
mh,10,0.443703,-30.9211,-28.7002,0.47008790000000006
mh,10,0.505914,-38.1052,-37.01,0.47008790000000006
mh,10,0.440443,-32.3337,-29.4227,0.47008790000000006
mh,10,0.51403,-33.4251,-29.7344,0.47008790000000006
mh,10,0.450108,-29.4796,-27.1088,0.47008790000000006
mh,10,0.461629,-34.6911,-32.5982,0.47008790000000006
mh,10,0.446242,-32.3633,-30.9176,0.47008790000000006
mh,10,0.466373,-32.4836,-30.0919,0.47008790000000006
smc,100,6.89882,-9.6187,-9.54023,6.186770000000001
smc,100,7.11434,-13.5181,-13.4558,6.186770000000001
smc,100,5.41913,-10.4668,-10.3677,6.186770000000001
smc,100,4.19097,-10.9805,-10.8773,6.186770000000001
smc,100,6.10485,-8.25448,-8.20447,6.186770000000001
smc,100,6.81995,-10.3924,-10.2652,6.186770000000001
smc,100,7.38733,-8.56352,-8.48373,6.186770000000001
smc,100,6.53296,-9.3128,-9.24437,6.186770000000001
smc,100,5.46545,-11.3151,-11.2085,6.186770000000001
smc,100,6.583,-11.8973,-11.771,6.186770000000001
smc,100,6.28327,-9.26226,-9.24243,6.186770000000001
smc,100,5.493,-9.55667,-9.50605,6.186770000000001
smc,100,7.50327,-11.0439,-10.927,6.186770000000001
smc,100,1.8442,-18.3803,-18.0845,6.186770000000001
smc,100,6.30409,-9.82115,-9.70414,6.186770000000001
smc,100,7.29945,-10.9997,-10.9085,6.186770000000001
smc,100,6.60162,-11.2916,-11.068,6.186770000000001
smc,100,6.78843,-13.6221,-13.6187,6.186770000000001
smc,100,6.39807,-8.68334,-8.38111,6.186770000000001
smc,100,5.53944,-8.47822,-8.21741,6.186770000000001
smc_fixedOrder,100,1.4981,-22.0516,-21.7048,6.186770000000001
smc_fixedOrder,100,1.82508,-16.9405,-16.4566,6.186770000000001
smc_fixedOrder,100,4.51627,-9.79227,-9.3053,6.186770000000001
smc_fixedOrder,100,3.84292,-9.80305,-9.39026,6.186770000000001
smc_fixedOrder,100,1.49978,-21.5384,-21.1063,6.186770000000001
smc_fixedOrder,100,4.27842,-10.9986,-10.5375,6.186770000000001
smc_fixedOrder,100,4.19017,-11.0777,-10.8959,6.186770000000001
smc_fixedOrder,100,3.45999,-11.443,-11.0814,6.186770000000001
smc_fixedOrder,100,4.64286,-10.6844,-10.2747,6.186770000000001
smc_fixedOrder,100,3.67376,-9.31216,-8.87982,6.186770000000001
smc_fixedOrder,100,1.58816,-22.8327,-22.1678,6.186770000000001
smc_fixedOrder,100,2.72374,-19.5209,-19.186,6.186770000000001
smc_fixedOrder,100,2.38886,-19.0741,-18.8434,6.186770000000001
smc_fixedOrder,100,4.43396,-14.7646,-14.2986,6.186770000000001
smc_fixedOrder,100,3.16949,-11.9974,-11.5803,6.186770000000001
smc_fixedOrder,100,3.68292,-11.3729,-10.9375,6.186770000000001
smc_fixedOrder,100,4.50525,-10.9693,-10.5287,6.186770000000001
smc_fixedOrder,100,3.26581,-11.9484,-11.6136,6.186770000000001
smc_fixedOrder,100,3.52869,-12.544,-12.1733,6.186770000000001
smc_fixedOrder,100,1.85374,-19.7425,-19.3186,6.186770000000001
mh,100,6.16987,-28.6053,-22.334,6.186770000000001
mh,100,6.17314,-28.4699,-23.0583,6.186770000000001
mh,100,6.16093,-25.8967,-17.3903,6.186770000000001
mh,100,6.18408,-26.3608,-15.136,6.186770000000001
mh,100,6.16871,-23.7726,-18.1597,6.186770000000001
mh,100,6.22762,-28.1239,-20.9935,6.186770000000001
mh,100,6.19167,-25.2055,-20.8607,6.186770000000001
mh,100,6.20022,-24.0412,-18.238,6.186770000000001
mh,100,6.18883,-19.71,-14.1206,6.186770000000001
mh,100,6.18534,-24.8801,-19.9934,6.186770000000001
mh,100,6.16062,-29.1531,-22.7154,6.186770000000001
mh,100,6.17152,-37.2209,-26.1915,6.186770000000001
mh,100,6.2019,-27.6463,-21.9925,6.186770000000001
mh,100,6.2642,-26.6051,-22.0145,6.186770000000001
mh,100,6.20913,-24.0845,-21.3176,6.186770000000001
mh,100,6.15722,-25.5019,-20.1493,6.186770000000001
mh,100,6.17742,-24.7141,-19.108,6.186770000000001
mh,100,6.16316,-22.5451,-12.1661,6.186770000000001
mh,100,6.19831,-27.8938,-21.1647,6.186770000000001
mh,100,6.18151,-24.9312,-17.9983,6.186770000000001
smc,200,14.665,-9.03981,-8.99927,13.418285000000001
smc,200,10.0804,-8.13644,-7.99208,13.418285000000001
smc,200,12.5252,-8.94932,-8.85687,13.418285000000001
smc,200,8.74076,-9.78932,-9.67231,13.418285000000001
smc,200,15.7185,-9.76361,-9.67875,13.418285000000001
smc,200,15.7433,-10.6374,-10.5831,13.418285000000001
smc,200,11.0624,-9.49434,-9.45272,13.418285000000001
smc,200,12.4154,-12.1267,-12.0018,13.418285000000001
smc,200,8.32942,-8.95727,-8.84847,13.418285000000001
smc,200,12.7813,-7.28847,-7.23796,13.418285000000001
smc,200,13.714,-9.66136,-9.48922,13.418285000000001
smc,200,11.5879,-9.48467,-9.46906,13.418285000000001
smc,200,15.7057,-9.35348,-9.30206,13.418285000000001
smc,200,15.4428,-8.57677,-8.4686,13.418285000000001
smc,200,12.2758,-11.0621,-10.9911,13.418285000000001
smc,200,14.5558,-10.2967,-10.1939,13.418285000000001
smc,200,14.5556,-10.3376,-10.231,13.418285000000001
smc,200,14.6886,-9.31202,-9.30318,13.418285000000001
smc,200,17.8158,-11.8972,-11.8375,13.418285000000001
smc,200,14.709,-10.3312,-10.1997,13.418285000000001
smc_fixedOrder,200,3.68957,-17.1723,-16.6592,13.418285000000001
smc_fixedOrder,200,4.78254,-17.4606,-17.0177,13.418285000000001
smc_fixedOrder,200,3.02231,-17.649,-17.208,13.418285000000001
smc_fixedOrder,200,6.06059,-21.3519,-20.8285,13.418285000000001
smc_fixedOrder,200,8.53939,-11.0633,-10.6347,13.418285000000001
