method,numSamps,time,avgScore,maxScore,MHavgTime
smc,10,0.207267,-33.9794,-33.9725,0.30865729999999997
smc,10,0.156345,-47.929,-47.8478,0.30865729999999997
smc,10,0.168958,-32.4031,-32.3659,0.30865729999999997
smc,10,0.151611,-32.692,-32.6886,0.30865729999999997
smc,10,0.148778,-35.7038,-35.392,0.30865729999999997
smc,10,0.17386,-28.865,-28.8074,0.30865729999999997
smc,10,0.202618,-31.3179,-31.3179,0.30865729999999997
smc,10,0.184811,-35.9201,-35.8041,0.30865729999999997
smc,10,0.176771,-43.6862,-43.5313,0.30865729999999997
smc,10,0.174411,-24.9275,-24.814,0.30865729999999997
smc,10,0.229774,-32.4056,-32.3152,0.30865729999999997
smc,10,0.188843,-29.5383,-29.5383,0.30865729999999997
smc,10,0.250429,-36.335,-36.2682,0.30865729999999997
smc,10,0.222094,-33.7508,-33.6646,0.30865729999999997
smc,10,0.16966,-37.1596,-37.0858,0.30865729999999997
smc,10,0.161775,-41.1055,-41.0952,0.30865729999999997
smc,10,0.159238,-49.3993,-49.317,0.30865729999999997
smc,10,0.15257,-37.2542,-37.0141,0.30865729999999997
smc,10,0.186521,-36.5318,-36.5318,0.30865729999999997
smc,10,0.166958,-39.7579,-39.7331,0.30865729999999997
smc_fixedOrder,10,0.14053,-50.9825,-50.9825,0.30865729999999997
smc_fixedOrder,10,0.165035,-37.793,-37.793,0.30865729999999997
smc_fixedOrder,10,0.156016,-51.523,-51.523,0.30865729999999997
smc_fixedOrder,10,0.170717,-42.751,-42.6191,0.30865729999999997
smc_fixedOrder,10,0.146652,-42.2472,-42.2472,0.30865729999999997
smc_fixedOrder,10,0.180551,-40.4343,-40.4343,0.30865729999999997
smc_fixedOrder,10,0.202556,-35.3127,-35.2752,0.30865729999999997
smc_fixedOrder,10,0.141608,-53.8371,-53.827,0.30865729999999997
smc_fixedOrder,10,0.16242,-36.3757,-36.3757,0.30865729999999997
smc_fixedOrder,10,0.15485,-50.5244,-50.5244,0.30865729999999997
smc_fixedOrder,10,0.166206,-45.3977,-45.3977,0.30865729999999997
smc_fixedOrder,10,0.212906,-32.1608,-32.1608,0.30865729999999997
smc_fixedOrder,10,0.163202,-42.2333,-42.2333,0.30865729999999997
smc_fixedOrder,10,0.140722,-53.0756,-53.031,0.30865729999999997
smc_fixedOrder,10,0.154896,-37.8619,-37.8619,0.30865729999999997
smc_fixedOrder,10,0.166776,-39.0572,-39.0309,0.30865729999999997
smc_fixedOrder,10,0.135125,-51.5823,-51.5823,0.30865729999999997
smc_fixedOrder,10,0.144506,-56.131,-56.131,0.30865729999999997
