method,numSamps,time,avgScore,maxScore,MHavgTime
smc,100,5.2797,-14.7147,-14.5844,5.3016175
smc,100,10.1097,-12.7965,-12.719,5.3016175
smc,100,20.1845,-11.549,-11.4413,5.3016175
smc,100,16.9649,-49.7659,-49.6704,5.3016175
smc,100,5.04309,-14.8716,-14.6334,5.3016175
smc,100,1.31445,-14.9535,-14.7779,5.3016175
smc,100,2.74771,-10.0731,-9.85603,5.3016175
smc,100,0.566075,-17.1413,-17.0106,5.3016175
smc,100,1.04097,-14.2689,-14.1299,5.3016175
smc,100,5.91517,-11.301,-11.2322,5.3016175
smc,100,4.41549,-13.6537,-13.3943,5.3016175
smc,100,3.02923,-12.8121,-12.635,5.3016175
smc,100,6.33394,-12.8443,-12.652,5.3016175
smc,100,4.20167,-9.8779,-9.69987,5.3016175
smc,100,4.04161,-10.5675,-10.3478,5.3016175
smc,100,3.38469,-14.0847,-13.9287,5.3016175
smc,100,4.69781,-13.6444,-13.5903,5.3016175
smc,100,1.47142,-15.7246,-15.4753,5.3016175
smc,100,0.388116,-18.7141,-18.6437,5.3016175
smc,100,2.76409,-12.8347,-12.6646,5.3016175
smc_fixedOrder,100,2.92044,-10.9834,-10.7241,5.3016175
smc_fixedOrder,100,1.38389,-14.6785,-14.4053,5.3016175
smc_fixedOrder,100,4.17339,-12.8091,-12.6024,5.3016175
smc_fixedOrder,100,3.54327,-14.6015,-14.4542,5.3016175
smc_fixedOrder,100,4.1109,-15.7694,-15.3885,5.3016175
smc_fixedOrder,100,0.414267,-20.7591,-20.7591,5.3016175
smc_fixedOrder,100,2.084,-14.4425,-14.2188,5.3016175
smc_fixedOrder,100,16.2172,-14.8958,-14.8761,5.3016175
smc_fixedOrder,100,0.335385,-20.8968,-20.8895,5.3016175
smc_fixedOrder,100,1.1701,-14.557,-14.3484,5.3016175
smc_fixedOrder,100,0.453147,-18.0352,-18.0042,5.3016175
smc_fixedOrder,100,4.44575,-12.0526,-11.8721,5.3016175
smc_fixedOrder,100,0.408221,-20.2359,-20.2037,5.3016175
smc_fixedOrder,100,1.15596,-14.4193,-14.2026,5.3016175
smc_fixedOrder,100,6.35683,-16.3286,-16.0037,5.3016175
smc_fixedOrder,100,1.56244,-14.0407,-13.8164,5.3016175
smc_fixedOrder,100,3.17095,-11.9259,-11.9259,5.3016175
smc_fixedOrder,100,3.00006,-11.8431,-11.4795,5.3016175
smc_fixedOrder,100,0.354705,-17.728,-17.7271,5.3016175
smc_fixedOrder,100,1.7731,-15.1934,-14.9369,5.3016175
mh,100,5.26051,-24.7698,-14.1668,5.3016175
mh,100,5.28929,-25.5408,-17.5575,5.3016175
mh,100,5.26305,-28.2619,-15.3491,5.3016175
mh,100,5.29355,-442.773,-21.5684,5.3016175
mh,100,5.29041,-242.269,-26.1324,5.3016175
mh,100,5.30261,-328.786,-17.0625,5.3016175
mh,100,5.27551,-68.9402,-18.0843,5.3016175
mh,100,5.28106,-23.7922,-22.8651,5.3016175
mh,100,5.29529,-74.7105,-17.75,5.3016175
mh,100,5.27948,-197.509,-17.5313,5.3016175
mh,100,5.25411,-26.2854,-15.7345,5.3016175
mh,100,5.26054,-22.7111,-16.5812,5.3016175
mh,100,5.30315,-31.643,-18.1903,5.3016175
mh,100,5.56331,-4141,-33.5771,5.3016175
mh,100,5.28608,-116.001,-16.8135,5.3016175
mh,100,5.26724,-46.5296,-16.4684,5.3016175
mh,100,5.29307,-307.689,-23.1653,5.3016175
mh,100,5.32351,-408.205,-22.4758,5.3016175
mh,100,5.28095,-394.541,-20.8336,5.3016175
mh,100,5.36963,-1944.2,-677.5,5.3016175
smc,200,191.623,-inf,-inf,27.27869
smc,200,17.0374,-13.8378,-13.6646,27.27869
smc,200,18.0117,-8.72658,-8.45765,27.27869
smc,200,57.2676,-8.66657,-8.4166,27.27869
smc,200,8.96269,-12.8004,-12.5482,27.27869
smc,200,24.4768,-9.27872,-9.12367,27.27869
smc,200,29.1169,-8.56951,-8.32373,27.27869
smc,200,7.54986,-11.3338,-11.1502,27.27869
smc,200,7.26267,-11.5944,-11.3519,27.27869
smc,200,4.7494,-13.4873,-13.2756,27.27869
smc,200,9.03787,-11.6887,-11.4119,27.27869
smc,200,10.0831,-10.0689,-9.92158,27.27869
smc,200,13.092,-8.31241,-8.15595,27.27869
smc,200,37.7745,-6.97663,-6.80057,27.27869
smc,200,4.56195,-14.0972,-13.8484,27.27869
smc,200,29.1811,-7.43632,-7.24083,27.27869
smc,200,14.3487,-10.6564,-10.2317,27.27869
smc,200,28.3138,-9.0382,-8.58143,27.27869
smc,200,13.4797,-11.0365,-10.6908,27.27869
smc,200,17.441,-12.3592,-12.115,27.27869
smc_fixedOrder,200,9.23579,-9.98319,-9.55579,27.27869
smc_fixedOrder,200,9.14785,-12.0333,-11.932,27.27869
smc_fixedOrder,200,14.7472,-9.03001,-8.86606,27.27869
smc_fixedOrder,200,17.7043,-12.376,-12.1016,27.27869
smc_fixedOrder,200,2.48597,-13.8834,-13.6725,27.27869
smc_fixedOrder,200,7.89867,-11.866,-11.6756,27.27869
smc_fixedOrder,200,3.96627,-12.4963,-12.1782,27.27869
smc_fixedOrder,200,10.4314,-8.95346,-8.67686,27.27869
smc_fixedOrder,200,9.63445,-9.64185,-9.30017,27.27869
smc_fixedOrder,200,13.074,-9.69214,-9.42316,27.27869
smc_fixedOrder,200,18.5745,-7.71156,-7.58162,27.27869
smc_fixedOrder,200,6.01028,-12.8997,-12.4334,27.27869
smc_fixedOrder,200,8.27123,-10.1202,-10.1202,27.27869
smc_fixedOrder,200,14.1191,-7.8405,-7.64834,27.27869
smc_fixedOrder,200,0.592566,-17.2468,-17.2356,27.27869
smc_fixedOrder,200,0.6307,-18.447,-18.27,27.27869
smc_fixedOrder,200,13.5946,-10.3495,-9.94587,27.27869
smc_fixedOrder,200,8.95765,-10.0907,-10.0078,27.27869
smc_fixedOrder,200,6.18365,-11.7816,-11.4795,27.27869
smc_fixedOrder,200,10.1563,-10.3445,-10.1448,27.27869
mh,200,27.2432,-33.7609,-20.8605,27.27869
mh,200,27.3518,-35.4163,-19.5448,27.27869
mh,200,27.4787,-86.4487,-8.91886,27.27869
mh,200,27.2562,-166.357,-21.0764,27.27869
mh,200,27.3083,-638.641,-22.7683,27.27869
mh,200,27.2585,-35.6981,-10.1521,27.27869
mh,200,27.2393,-22.5226,-20.6932,27.27869
mh,200,27.2648,-18.9772,-16.3216,27.27869
mh,200,27.3088,-17.5239,-13.6646,27.27869
mh,200,27.3333,-74.4207,-19.5539,27.27869
mh,200,27.2553,-12.6653,-7.64799,27.27869
mh,200,27.2246,-9.42476,-7.07889,27.27869
mh,200,27.2688,-11.0638,-7.20644,27.27869
mh,200,27.2562,-25.4286,-16.0797,27.27869
mh,200,27.2285,-8.98407,-7.44938,27.27869
mh,200,27.2369,-14.0682,-8.33412,27.27869
mh,200,27.2589,-249.781,-11.0628,27.27869
mh,200,27.2376,-26.6476,-20.5379,27.27869
mh,200,27.3133,-328.858,-20.2958,27.27869
mh,200,27.2508,-155.963,-18.8585,27.27869
smc,300,23.3049,-11.8259,-11.5548,35.90620500000001
smc,300,12.8925,-12.4653,-12.2473,35.90620500000001
smc,300,24.4801,-8.95332,-8.82417,35.90620500000001
smc,300,18.812,-9.56935,-9.2936,35.90620500000001
