method,numSamps,time,avgScore,maxScore
smc,100,0.24979,-17.3521,-16.9966
smc_fixedOrder,100,0.140676,-40.3872,-40.2485
mh,100,0.155324,-75.1546,-60.0349
smc,200,0.601763,-14.5436,-14.1558
smc_fixedOrder,200,0.265844,-43.5993,-43.3709
mh,200,0.313043,-68.5655,-48.23
smc,300,0.61258,-18.1741,-17.9166
smc_fixedOrder,300,0.379764,-39.4186,-39.3667
mh,300,0.386958,-49.3948,-40.3519
smc,400,0.886513,-17.7015,-17.5465
smc_fixedOrder,400,0.945988,-19.5812,-19.4309
mh,400,0.22576,-59.2242,-36.7227
smc,500,1.33589,-15.6859,-15.1358
smc_fixedOrder,500,0.84994,-25.3027,-25.1645
mh,500,0.82875,-47.6438,-24.8743
smc,600,1.31313,-14.1051,-14.0911
smc_fixedOrder,600,0.53771,-38.7951,-38.6384
mh,600,0.628921,-33.5885,-25.3709
smc,700,1.60495,-15.7461,-15.5372
smc_fixedOrder,700,1.02063,-30.377,-30.1689
mh,700,0.846388,-36.5053,-25.7246
smc,800,2.2798,-14.5852,-14.3596
smc_fixedOrder,800,1.48398,-17.5622,-17.2995
mh,800,0.82368,-42.1433,-23.6146
smc,900,2.51314,-14.8256,-14.3649
smc_fixedOrder,900,1.80394,-22.9231,-22.77
mh,900,0.866093,-35.7886,-28.0147
smc,1000,2.70902,-12.3173,-11.8603
smc_fixedOrder,1000,1.95162,-20.9519,-20.7681
mh,1000,1.93802,-20.0006,-13.3775
smc,1100,2.25723,-13.1285,-12.9687
smc_fixedOrder,1100,1.86429,-28.6026,-28.2557
mh,1100,0.840737,-35.9923,-26.5492
smc,1200,2.5744,-14.2443,-13.6364
smc_fixedOrder,1200,2.57109,-18.2592,-17.9024
mh,1200,1.3124,-38.0381,-23.8218
smc,1300,3.69677,-13.8191,-12.9971
smc_fixedOrder,1300,2.41481,-23.0273,-22.7991
mh,1300,1.84164,-35.6925,-21.0723
smc,1400,3.49909,-13.5799,-13.0776
smc_fixedOrder,1400,2.85634,-17.2775,-17.0591
mh,1400,1.33595,-40.5419,-25.1524
smc,1500,3.13644,-13.7329,-13.3393
smc_fixedOrder,1500,2.80441,-20.9925,-20.6896
mh,1500,1.86207,-33.3756,-21.4293
smc,1600,4.01499,-12.9942,-12.4989
smc_fixedOrder,1600,1.55935,-37.3897,-37.1994
mh,1600,1.8365,-34.628,-20.6279
smc,1700,3.8147,-14.1571,-13.6989
smc_fixedOrder,1700,3.28849,-16.9593,-16.7733
mh,1700,2.37399,-35.1611,-20.8975
smc,1800,4.91688,-14.0435,-13.4031
smc_fixedOrder,1800,2.63938,-34.1639,-33.8758
mh,1800,2.55977,-29.3957,-17.8424
smc,1900,4.80723,-14.4513,-14.2422
smc_fixedOrder,1900,3.4602,-21.1423,-21.1062
mh,1900,2.08624,-34.4236,-19.4043
smc,2000,4.374,-13.2514,-12.9782
smc_fixedOrder,2000,3.69003,-15.8284,-15.2708
mh,2000,3.21072,-39.3569,-17.9485
smc,2100,4.00517,-11.9188,-11.6636
smc_fixedOrder,2100,3.84279,-15.4698,-15.2408
mh,2100,2.09908,-33.9292,-26.698
smc,2200,6.03798,-14.1556,-13.5712
smc_fixedOrder,2200,3.98465,-18.9052,-18.7142
mh,2200,2.32174,-33.3151,-23.0619
smc,2300,3.57764,-14.5385,-14.4773
smc_fixedOrder,2300,4.40149,-17.5637,-17.2472
mh,2300,3.06424,-28.8214,-13.4444
smc,2400,5.371,-13.5177,-12.8366
smc_fixedOrder,2400,4.48081,-17.6413,-17.415
mh,2400,3.22785,-31.4676,-21.9319
smc,2500,5.26852,-14.1536,-13.7904
smc_fixedOrder,2500,3.36567,-34.9338,-34.648
mh,2500,3.45717,-28.543,-18.6171
smc,2600,7.36729,-12.8235,-12.4849
smc_fixedOrder,2600,4.80991,-18.1786,-17.8742
mh,2600,3.66885,-27.0805,-17.1113
smc,2700,6.46256,-14.5871,-14.4086
smc_fixedOrder,2700,5.18122,-18.0935,-17.8795
mh,2700,3.27779,-27.8036,-18.6926
smc,2800,7.23881,-13.7121,-13.3059
smc_fixedOrder,2800,6.48143,-23.8835,-23.3925
mh,2800,4.80922,-30.3073,-17.7312
smc,2900,5.66294,-13.1213,-12.7613
smc_fixedOrder,2900,5.29357,-17.4189,-17.1374
mh,2900,6.73246,-25.7279,-17.1896
smc,3000,5.93551,-13.5322,-13.3584
smc_fixedOrder,3000,5.90214,-17.804,-17.5096
mh,3000,4.21811,-23.2455,-17.1739
