method,numSamps,time,avgScore,maxScore
smc,100,0.24607,-17.3521,-16.9966
smc,100,0.337371,-18.6282,-18.429
smc,100,0.232492,-22.7003,-22.5376
smc,100,0.272212,-18.7689,-18.601
smc,100,0.306469,-19.3247,-19.2459
smc,100,0.30398,-18.32,-18.0725
smc,100,0.237782,-17.7614,-17.6572
smc,100,0.294143,-20.7581,-20.5943
smc,100,0.190018,-17.457,-16.7785
smc,100,0.272196,-19.099,-18.8385
smc_fixedOrder,100,0.214192,-29.6905,-29.5707
smc_fixedOrder,100,0.207238,-39.9911,-39.9168
smc_fixedOrder,100,0.122467,-41.3914,-40.9989
smc_fixedOrder,100,0.200046,-23.7692,-23.6737
smc_fixedOrder,100,0.084331,-41.2107,-41.1984
smc_fixedOrder,100,0.143393,-42.0679,-41.9697
smc_fixedOrder,100,0.101188,-41.9939,-41.7969
smc_fixedOrder,100,0.110409,-40.6384,-40.4702
smc_fixedOrder,100,0.153516,-37.8804,-37.7147
smc_fixedOrder,100,0.127823,-40.0727,-39.9168
mh,100,0.2917,-71.6953,-48.952
mh,100,0.358427,-51.329,-33.583
mh,100,0.287502,-41.4354,-36.1216
mh,100,0.28385,-63.3631,-41.0642
mh,100,0.284031,-49.9499,-40.0714
mh,100,0.311948,-49.5857,-37.7291
mh,100,0.462591,-39.5837,-26.9967
mh,100,0.287079,-54.248,-45.3444
mh,100,0.283848,-49.8036,-34.967
mh,100,0.349703,-62.9938,-51.2204
smc,300,0.684433,-18.4253,-17.9432
smc,300,0.817693,-16.23,-15.8656
smc,300,0.551845,-16.3921,-16.1968
smc,300,0.44147,-17.1378,-16.3967
smc,300,0.70774,-19.1207,-18.9739
smc,300,0.695406,-17.4689,-17.3257
smc,300,0.853805,-13.8016,-13.5883
smc,300,0.609172,-17.3265,-17.1583
smc,300,0.762815,-17.8507,-17.1165
smc,300,0.424142,-20.2207,-20.1539
smc_fixedOrder,300,0.372956,-40.6046,-40.4096
smc_fixedOrder,300,0.318584,-38.2567,-37.9735
smc_fixedOrder,300,0.405124,-37.4712,-37.278
smc_fixedOrder,300,0.558021,-28.86,-28.6094
smc_fixedOrder,300,0.258449,-39.0292,-38.6819
smc_fixedOrder,300,0.694108,-25.3762,-25.1645
smc_fixedOrder,300,0.4829,-22.9205,-22.6711
smc_fixedOrder,300,0.538549,-25.5798,-25.3284
smc_fixedOrder,300,0.425695,-38.4429,-38.262
smc_fixedOrder,300,0.250746,-38.1743,-37.6143
mh,300,0.668499,-42.0343,-28.2684
mh,300,0.68215,-60.7318,-49.2744
mh,300,0.663932,-30.6962,-25.8899
mh,300,0.679401,-52.6302,-35.0644
mh,300,0.669928,-99.2262,-33.2754
mh,300,0.669905,-51.9399,-36.0019
mh,300,0.67017,-29.6792,-19.1996
mh,300,0.687795,-42.7683,-33.9107
mh,300,0.675745,-81.263,-29.616
mh,300,0.671455,-42.7819,-34.3923
smc,500,0.850938,-15.1412,-14.4037
smc,500,1.12344,-15.0196,-14.8325
smc,500,0.694434,-15.2549,-15.2058
smc,500,1.29115,-14.2599,-14.0814
smc,500,1.09629,-18.2313,-18.1028
smc,500,1.03836,-14.9231,-14.1593
smc,500,1.29579,-15.1243,-14.9466
smc,500,1.14098,-12.879,-12.7942
smc,500,1.56657,-14.1194,-13.6056
smc,500,1.11697,-14.7489,-14.5954
smc_fixedOrder,500,0.823235,-29.9952,-29.9863
smc_fixedOrder,500,0.905287,-29.453,-29.2928
smc_fixedOrder,500,1.03094,-20.9306,-20.8279
smc_fixedOrder,500,1.01364,-22.2668,-22.0525
smc_fixedOrder,500,1.08947,-20.9005,-20.6952
smc_fixedOrder,500,0.435908,-40.4562,-40.1673
smc_fixedOrder,500,1.08211,-26.5193,-26.2341
smc_fixedOrder,500,0.600614,-40.3101,-40.0698
smc_fixedOrder,500,0.431986,-38.5546,-38.5224
smc_fixedOrder,500,0.87588,-32.2602,-31.8396
mh,500,1.13112,-36.6662,-28.2375
mh,500,1.19445,-39.8321,-26.9094
mh,500,1.14518,-37.0637,-24.7116
mh,500,1.13721,-35.2946,-22.6952
mh,500,1.16901,-33.1861,-19.1642
mh,500,1.1799,-32.6785,-23.4494
mh,500,1.14921,-30.1577,-21.1967
mh,500,1.13034,-34.6951,-23.9048
mh,500,1.13772,-54.0221,-23.4435
mh,500,1.13602,-37.6997,-27.5163
smc,700,1.57342,-16.4381,-16.2326
smc,700,1.75626,-14.3303,-14.1398
smc,700,1.19376,-15.769,-15.5168
smc,700,1.52747,-17.0726,-16.104
smc,700,1.57566,-14.7294,-14.443
smc,700,1.79908,-12.0685,-11.7321
smc,700,1.88073,-12.229,-12.0904
smc,700,1.95473,-16.2462,-15.7946
smc,700,1.68399,-14.5945,-13.8415
smc,700,1.20088,-14.9795,-14.1885
smc_fixedOrder,700,0.625834,-39.3009,-39.0309
smc_fixedOrder,700,1.39218,-22.8595,-22.584
smc_fixedOrder,700,0.59813,-36.7442,-36.1005
smc_fixedOrder,700,1.63253,-17.3802,-16.8252
